record_ID,Budget
516,68495.25418
517,75904.30276
518,62981.12248
519,64038.07754
520,41262.55437
521,45310.56197
522,51860.45792
523,40374.75501
524,58243.73135
525,38761.06985
526,66126.69927
527,60875.02321
528,65397.08996
529,51436.01056
530,73813.03347
531,69845.37533
532,37823.12944
533,40459.09619
534,97503.33902
535,84309.58353
536,39808.7963
537,51103.56516
538,3922.635955
539,8151.563383
540,12037.91752
541,5135.437167
542,7120.584517
543,4528.807026
544,67887.43193
545,73838.17345
546,6723.720625
547,66487.21418
548,83417.73545
549,84372.27601
550,66131.27716
551,91661.98132
552,64795.62983
553,88431.35126
554,27188.0251
555,6666.068988
556,27832.40375
557,45052.37193
558,66361.80854
559,68717.28171
560,67114.12313
561,58956.84388
562,70957.36977
563,65124.35516
564,63356.54527
565,69686.18167
566,83584.47782
567,80853.71528
568,68334.53996
569,73976.40771
570,75306.49916
571,62659.35197
572,63417.31205
573,79365.47944
574,68684.90593
575,80979.60511
576,3186.501397
577,94810.68147
578,69569.18929
579,72275.11645
580,34751.28195
581,70373.72322
582,5935.69892
583,2478.902663
584,2951.680861
585,10254.44205
586,8632.243881
587,7886.149751
588,6882.937713
589,9849.468849
590,4739.068547
591,5622.155263
592,5426.828462
593,7872.729263
594,3934.711815
595,67344.3743
596,54782.23347
597,58211.93242
598,64421.09978
599,44365.43433
600,56722.03543
601,65683.18075
602,6006.279283
603,91278.95161
604,81384.31577
605,67335.40897
606,62126.51491
607,97006.35034
608,95947.19259
609,18839.81842
610,74704.29035
611,19476.59106
612,18935.54333
613,12807.40625
614,14381.30824
615,11850.15059
616,17736.88094
617,56026.50146
618,86770.60414
619,89379.21674
620,90208.05382
621,102316.1087
622,19310.81736
623,38224.69869
624,66431.05456
625,45048.16846
626,48637.40753
627,83089.43606
628,85722.43409
629,47749.15729
630,73074.72076
631,59213.67507
632,58712.0874
633,39182.71398
634,26636.14287
635,61489.935
636,62094.8641
637,61052.0061
638,61461.33676
639,66350.20256
640,59886.79706
641,59037.37611
642,62711.13421
643,53717.30578
644,61174.60212
645,57022.85731
646,65999.09848
647,63394.60644
648,64466.887
649,26715.86593
650,38302.30833
651,16104.17072
652,87528.28532
653,63898.70239
654,41299.20794
655,57927.0607
656,66821.68997
657,80089.95402
658,48458.30101
659,36526.41537
660,40459.96458
661,46642.56625
662,31814.27577
663,61194.95524
664,64035.18642
665,64393.16564
666,56866.15251
667,54057.03102
668,62552.22255
669,6308.650727
670,19830.55001
671,55519.48823
672,5666.443063
673,29514.53146
674,62354.73501
675,43694.52302
676,65063.47081
677,29440.55521
678,5739.081145
679,57082.37892
680,59311.03874
681,65120.07448
682,56261.13287
683,66619.85644
684,115273.9263
685,112855.3741
686,27630.73486
687,29709.35705
688,29722.58572
689,51479.74026
690,34886.61445
691,27026.34682
692,61198.30762
693,66833.48534
694,104978.2283
695,64305.33252
696,40085.56204
697,79077.28765
698,40568.20907
699,62717.05872
700,33679.66448
701,35979.32
702,32086.89691
703,29603.05908
704,44525.00846
705,74198.21983
706,29490.29133
707,37916.74177
708,35512.71108
709,33512.50977
710,63699.33368
711,43470.8317
712,47849.44556
713,48423.75293
714,44011.54775
715,38515.91477
716,44879.32702
717,30818.23039
718,59301.70682
719,67834.46635
720,68818.51763
721,70488.07703
722,64041.05175
723,69017.15871
724,9025.148835
725,64614.24711
726,30367.14079
727,63185.37711
728,61614.26606
729,46190.76949
730,70631.12096
731,29154.77941
732,64282.46688
733,69739.79819
734,77724.83733
735,75111.69355
736,44195.70671
737,81031.67399
738,103554.1572
739,72474.63779
740,59474.01973
741,61632.2746
742,40437.48105
743,44684.40319
744,26359.31796
745,31333.15981
746,34877.05821
747,11138.14322
748,28140.051
749,29733.99257
750,35684.31865
751,52470.60622
752,36770.92634
753,56658.21341
754,51384.35894
755,88486.89775
756,40667.53863
757,50781.20973
758,41033.45214
759,72160.82698
760,38246.27895
761,68633.37676
762,52393.62829
763,43087.57284
764,33823.54262
765,37477.28915
766,42996.01265
767,34315.6339
768,28246.25025
769,49911.35749
770,49595.41157
771,66256.34783
772,42381.02074
773,55565.85075
774,39152.69844
775,51533.77064
776,48301.54083
777,47692.10279
778,23252.72546
779,40503.65561
780,24329.65745
781,22625.60483
782,74743.41384
783,64227.76376
784,44555.88188
785,32225.03765
786,51842.4075
787,34969.37213
788,58726.43286
789,61546.69708
790,60647.03165
791,65782.81562
792,57316.9015
793,60869.06336
794,5856.964935
795,64963.52562
796,66001.24371
797,32557.73192
798,32372.07672
799,77978.3366
800,73855.82276
801,92333.51033
802,64751.06359
803,29247.77936
804,47473.92276
805,33095.56539
806,37628.64436
807,26494.63176
808,27546.10875
809,41266.27623
810,43523.33291
811,83495.42015
812,37693.74704
813,34905.94865
814,44805.4787
815,28168.23988
816,71848.63757
817,75408.31405
818,34284.11907
819,29468.50283
820,35655.63455
821,37807.20426
822,49894.23309
823,66081.78313
824,27981.38338
825,43475.61804
826,45829.9481
827,41925.25776
828,38286.12983
829,49667.03469
830,57005.23065
831,43739.2391
832,19065.48346
833,29391.17946
834,29259.86474
835,53531.93308
836,60377.08127
837,60275.16081
838,46068.38799
839,2993.693052
840,70898.40329
841,72298.77453
842,71492.05843
843,63757.13474
844,79608.51375
845,73752.47995
846,43564.68392
847,43814.57375
848,58770.88086
849,84819.34928
850,55625.60664
851,87986.01256
852,99770.32223
853,32283.36217
854,35616.66805
855,40775.31312
856,15731.92031
857,36562.1492
858,47580.9742
859,48471.70602
860,50401.47589
861,34164.96704
862,35867.26605
863,37582.1929
864,41338.60904
865,54287.11431
866,51337.99178
867,37402.74738
868,38206.52825
869,37074.82077
870,35257.05035
871,29416.87894
872,35192.97157
873,54195.24762
874,35023.96339
875,41547.84594
876,33880.09395
877,40663.26354
878,28260.28971
879,35363.11111
880,38338.0224
881,12201.47654
882,34804.13897
883,35217.70782
884,39039.09
885,29604.84168
886,39745.70246
887,42184.40463
888,47392.5135
889,36811.00469
890,34821.90671
891,53316.71576
892,41242.1222
893,37611.98379
894,49156.77839
895,35652.74502
896,35703.19441
897,46404.28406
898,43447.18567
899,44682.29405
900,62826.80794
901,61065.32655
902,46841.44283
903,37889.51525
904,42791.37122
905,66241.94216
906,39173.71688
907,61017.99155
908,41099.45131
909,51170.33394
910,56451.56682
911,37395.66041
912,47731.09247
913,38897.46301
914,36418.00863
915,37878.50638
916,51263.20831
917,36355.2689
918,57445.14587
919,36255.07039
920,47956.54352
921,57101.4095
922,64860.37825
923,59943.47462
924,55477.40442
925,60508.32651
926,10953.15743
927,59296.61481
928,54207.70032
929,65081.28902
930,28916.86439
931,23179.87743
932,31317.41917
933,5912.741547
934,58587.05408
935,63803.36803
936,55586.6226
937,59513.11989
938,62139.70103
939,54193.29877
940,70930.8901
941,61583.6528
942,3047.784719
943,22269.87631
944,70746.1998
945,78759.29833
946,14820.99276
947,16596.49244
948,62724.47623
949,70385.54356
950,63176.338
951,56848.84866
952,71631.6874
953,60564.82259
954,61502.25678
955,65515.68848
956,65919.16318
957,59421.26785
958,68132.90471
959,62825.40877
960,34166.08295
961,67056.44028
962,62556.99431
963,66722.69863
964,27824.79635
965,63636.17065
966,58468.49727
967,59544.72456
968,61284.03995
969,73933.81335
970,70218.82867
971,72542.45374
972,52081.26529
973,30415.45479
974,66237.05046
975,3006.637049
976,61898.97242
977,61594.09373
978,67697.58601
979,64414.21891
980,57244.77704
981,13247.7838
982,66651.6232
983,68410.31703
984,60171.06701
985,76911.00105
986,43934.77767
987,63294.80681
988,65364.68306
989,32273.64242
990,70620.48072
991,67833.50218
992,64988.84861
993,61420.41158
994,61566.35147
995,58713.06159
996,67441.66531
997,66979.63216
998,56666.20135
999,61669.8762
1000,61517.75412
1001,67731.09946
1002,59398.64503
1003,63673.23916
1004,67918.1113
1005,60153.16321
1006,65516.6226
1007,59375.67659
1008,60001.91385
1009,63202.20851
1010,16652.86007
1011,64665.90394
1012,64133.93504
1013,55703.95929
1014,44677.46492
1015,58294.79427
1016,68455.55836
1017,60781.19201
1018,63858.56886
1019,18075.02943
1020,62954.23647
1021,63209.56527
1022,66525.87686
1023,59396.03447
1024,64361.03728
1025,28489.56114
1026,7958.40513
1027,64431.45806
1028,61464.377
1029,65347.47785
1030,56619.4079
1031,33196.08958
1032,62917.07469
1033,59974.92081
1034,60060.11934
1035,65754.00801
1036,60374.1277
1037,64898.22658
1038,64292.63138
1039,65012.46413
1040,64736.72505
1041,41836.5325
1042,61282.71808
1043,61034.89988
1044,65700.23723
1045,59238.55052
1046,30471.70035
1047,65916.27502
1048,6549.454903
1049,65357.91329
1050,60999.33227
1051,66340.23634
1052,66467.65303
1053,19690.78093
1054,66999.41577
1055,69438.0829
1056,58766.95946
1057,72337.85375
1058,66229.54438
1059,58812.45345
1060,61374.26513
1061,54162.22989
1062,59498.48549
1063,65297.41597
1064,47238.02982
1065,53733.5217
1066,21399.55412
1067,59190.6497
1068,62788.17143
1069,50875.2368
1070,23366.96018
1071,63898.47321
1072,50176.20006
1073,60600.11809
1074,49119.4162
1075,66908.348
1076,115285.0081
1077,72620.00003
1078,73263.2192
1079,87477.34651
1080,72453.22269
1081,72623.39219
1082,74044.49747
1083,70320.27568
1084,32463.854
1085,94979.42862
1086,80067.468
1087,90640.82524
1088,88998.69789
1089,97238.47996
1090,96132.07262
1091,97005.48535
1092,85337.26964
1093,76131.17768
1094,82612.79497
1095,96701.04602
1096,76603.54909
1097,115471.8176
1098,73975.04414
1099,78048.34313
1100,74771.16519
1101,84797.61102
1102,96951.05026
1103,84465.21189
1104,85193.75707
1105,93517.69829
1106,123419.0013
1107,118765.4512
1108,93912.49367
1109,83983.9502
1110,27694.14138
1111,77495.04411
1112,90569.08405
1113,40702.44247
1114,49485.03592
1115,81523.11047
1116,33200.48012
1117,48079.15041
1118,4695.805291
1119,15118.09008
1120,36811.17076
1121,3951.839931
1122,1507.950596
1123,41036.73469
1124,45220.09802
1125,63558.83647
1126,9455.138676
1127,27682.55843
1128,56832.06392
1129,53523.31816
1130,7023.660975
1131,82067.20742
1132,78823.9446
1133,81660.7985
1134,113692.3292
1135,93537.03114
1136,93491.69598
1137,68125.37622
1138,85810.82368
1139,109139.6553
1140,64317.24551
1141,83610.45181
1142,80606.49419
1143,79844.30023
1144,77811.30959
1145,80891.73624
1146,79715.45397
1147,91856.17652
1148,31874.96194
1149,106569.4998
1150,89550.88269
1151,88567.20056
1152,82764.9366
1153,78301.76168
1154,95884.56541
1155,16973.19337
1156,75522.43279
1157,72538.05578
1158,99608.15075
1159,64797.47693
1160,74328.74651
1161,88039.30745
1162,50442.59025
1163,83495.00584
1164,88521.86866
1165,65389.71639
1166,74449.39411
1167,86846.48773
1168,103868.6867
1169,105464.1281
1170,101390.6402
1171,83632.7897
1172,97887.52187
1173,105572.116
1174,43116.99984
1175,37640.3789
1176,38969.738
1177,36420.08552
1178,28605.68153
1179,8736.85997
1180,9501.561028
1181,37687.80483
1182,62074.01738
1183,39953.91902
1184,63463.34544
1185,57818.62764
1186,45408.20797
1187,59900.51659
1188,34088.88626
1189,4847.098242
1190,29083.59964
1191,25097.17296
1192,35976.42611
1193,50320.32306
1194,38856.8183
1195,25891.28762
1196,40302.18325
1197,35458.77246
1198,37788.86899
1199,36733.0279
1200,42174.77931
1201,12453.88502
1202,36649.24791
1203,32719.12608
1204,42633.59609
1205,47181.04515
1206,51775.52292
1207,40440.4939
1208,29756.33649
1209,29839.61351
1210,9878.660202
1211,40713.17916
